1            ,Зенит,44,20,38
2            ,Динамо,33,20,36
3            ,Сочи,30,21,31
4            ,ПФК ЦСКА,21,16,30
5            ,Краснодар,29,18,29
6            ,Локомотив,24,19,28
7            ,Ахмат,24,24,27
8            ,Крылья Советов,22,18,27
9            ,Спартак,20,26,23
10            ,Рубин,23,27,22
11            ,Урал,12,18,19
12            ,Арсенал,21,35,19
13            ,Нижний Новгород,18,30,19
14            ,Ростов,30,35,18
15            ,Уфа,17,26,16
16            ,Химки,16,31,14
